arr_id,dep_id,stand,registration,aircraft_type,pax,traffic_cat,airport_code,arr_date,arr_flight,arr_terminal,arr_status,arr_time,dep_date,dep_flight,dep_terminal,dep_status,dep_time
147320,147321,6A,CNROH,B738,79,C,3,06/08/2025,AT2533,0,0,16:18:00,06/08/2020,AT2533,3,A,17:30:00
,147328,6,TCLNC,A333,215,E,1,,,0,0,,06/08/2020,TK557,21,M,01:14:00
147288,147289,6B,XTABZ,E195,41,C,3,06/08/2025,2J507,21,B,14:17:00,06/08/2020,2J508,21,M,15:33:00
147290,147291,6A,5YKYF,B738,79,C,3,06/08/2025,KQ520,21,B,11:27:00,06/08/2020,KQ520,21,M,12:47:00
147292,147293,7A,5YCYB,B738,79,C,3,06/08/2025,KQ521,21,B,19:20:00,06/08/2020,KQ521,0,0,20:28:00
147294,147295,6,ETAVD,A359,272,E,3,06/08/2025,ET935,21,B,14:49:00,06/08/2020,ET935,0,0,14:49:00
147298,147299,4,OOSFG,A333,215,E,3,06/08/2025,SN231,0,0,22:21:00,07/08/2020,SN231,21,M,00:11:00
147300,147301,5,FHTYE,A359,272,E,3,06/08/2025,AF520,0,0,19:01:00,06/08/2020,AF521,21,M,21:18:00
147302,147303,5,FHJAZ,A332,233,E,3,06/08/2025,SS984,21,B,21:09:00,07/08/2020,SS985,21,M,00:10:00
147304,147305,7B,TUTST,A319,76,C,3,06/08/2025,HF743,21,A,11:35:00,06/08/2020,HF510,0,0,14:12:00
147306,147307,5B,TUTSW,A320,68,C,3,06/08/2025,HF707,21,B,11:49:00,06/08/2020,HF712,21,M,14:07:00
147309,147310,7A,TUTSV,A320,68,C,3,06/08/2025,HF713,21,A,11:19:00,06/08/2020,HF7400,0,0,16:33:00
147311,147312,5A,TUTSB,A319,76,C,3,06/08/2025,HF523,21,B,11:39:00,06/08/2020,HF706,21,M,13:34:00
147324,147325,6,FGSQH,B773,345,E,3,06/08/2025,AF702,21,B,21:39:00,06/08/2020,AF703,21,M,23:31:00
147329,147329,8A,TUTSV,A320,68,C,3,06/08/2025,HF7410,0,0,20:55:00,00/01/1900,,0,0,00:00:00
147459,147459,G11,TUTSQ,DHC8,30,C,3,10/08/2025,HF045,0,0,14:49:00,00/01/1900,,0,0,00:00:00
147460,147466,G11,TUTST,A319,76,C,3,10/08/2025,HF743,0,0,11:42:00,10/08/2020,HF522,0,0,14:43:00